name,internal_url,website_url,outbound_url,external_domain,category,featured,curated_pick,external_http_code,external_effective_url,external_redirects,reachability
Codeshot,https://macapp.supply/app/codeshot,https://codeshotapp.com/,https://codeshotapp.com/?ref=macapp.supply,codeshotapp.com,Dev,False,False,200,https://codeshotapp.com/,0,reachable
Caesura,https://macapp.supply/app/caesura,https://caesura.app/,https://caesura.app/?ref=macapp.supply,caesura.app,Utility,False,False,0,https://caesura.app/,0,listed HTTPS URL unreachable; HTTP domain parked; likely stale URL
Maestri,https://macapp.supply/app/maestri,https://www.themaestri.app/,https://www.themaestri.app/?ref=macapp.supply,www.themaestri.app,AI,False,False,200,https://www.themaestri.app/en,1,reachable
Glyph,https://macapp.supply/app/glyph,https://glyphformac.com/,https://glyphformac.com/?ref=macapp.supply,glyphformac.com,Writing,False,False,200,https://glyphformac.com/,0,reachable
ScreenLex,https://macapp.supply/app/screenlex,https://www.screenlex.cc/,https://www.screenlex.cc/?ref=macapp.supply,www.screenlex.cc,Photography,False,False,200,https://www.screenlex.cc/,0,reachable
Alcove,https://macapp.supply/app/alcove,https://tryalcove.com/,https://tryalcove.com/?ref=macapp.supply,tryalcove.com,Utility,False,True,200,https://tryalcove.com/,0,reachable
LookAway,https://macapp.supply/app/lookaway,https://lookaway.com/,https://lookaway.com/?ref=macapp.supply,lookaway.com,Productivity,False,True,200,https://lookaway.com/,0,reachable
Atlas,https://macapp.supply/app/atlas,https://asekachov.com/atlasformac,https://asekachov.com/atlasformac?ref=macapp.supply,asekachov.com,Productivity,False,True,200,https://asekachov.com/atlasformac,0,reachable
Hejour,https://macapp.supply/app/hejour,https://hejour.com/,https://hejour.com/?ref=macapp.supply,hejour.com,Writing,True,False,200,https://hejour.com/,0,reachable
Tono,https://macapp.supply/app/tono,https://nil-byte.github.io/Tono/,https://nil-byte.github.io/Tono/?ref=macapp.supply,nil-byte.github.io,Lifestyle,False,False,200,https://nil-byte.github.io/Tono/,0,reachable
HiPixel,https://macapp.supply/app/hipixel,https://hipixel.5km.tech/,https://hipixel.5km.tech/?ref=macapp.supply,hipixel.5km.tech,Photography,False,False,200,https://hipixel.5km.tech/,0,reachable
Unfold,https://macapp.supply/app/unfold,https://flew.gg/unfold,https://flew.gg/unfold?ref=macapp.supply,flew.gg,Utility,False,False,200,https://flew.gg/unfold,0,reachable
Zipic,https://macapp.supply/app/zipic,https://zipic.app/,https://zipic.app/?ref=macapp.supply,zipic.app,Utility,False,False,200,https://zipic.app/,0,reachable
Coreviz Studio,https://macapp.supply/app/coreviz-studio,https://coreviz.io/,https://coreviz.io/?ref=macapp.supply,coreviz.io,AI,False,False,200,https://lab.coreviz.io/not-available,1,HTTP 200; redirected to region-unavailable page from Bangkok test location
HeatScope AI UX Attention Heatmaps,https://macapp.supply/app/heatscope-ai-ux-attention-heatmaps,http://heatscope.space/,http://heatscope.space/?ref=macapp.supply,heatscope.space,Design,False,False,200,https://heatscope.space/,1,reachable
Cooldock,https://macapp.supply/app/cooldock,http://dock.cool/,http://dock.cool/?ref=macapp.supply,dock.cool,Productivity,True,True,200,https://www.dock.cool/,2,reachable
Room Service,https://macapp.supply/app/room-service,http://roomservices.pro/,http://roomservices.pro/?ref=macapp.supply,roomservices.pro,Dev,False,False,200,https://roomservices.pro/,1,reachable
Obsidian,https://macapp.supply/app/obsidian,https://obsidian.md/,https://obsidian.md/?ref=macapp.supply,obsidian.md,Writing,False,False,200,https://obsidian.md/,0,reachable
Unfumble,https://macapp.supply/app/unfumble,https://unfumble.app/,https://unfumble.app/?ref=macapp.supply,unfumble.app,Utility,False,False,200,https://unfumble.app/,0,reachable
Pokey,https://macapp.supply/app/pokey,https://pokeyapp.com/,https://pokeyapp.com/?ref=macapp.supply,pokeyapp.com,Communication,False,False,200,https://pokeyapp.com/,0,reachable
VoiceOS,https://macapp.supply/app/voiceos,https://www.voiceos.com/,https://www.voiceos.com/?ref=macapp.supply,www.voiceos.com,Productivity,False,False,200,https://www.voiceos.com/,0,reachable
Dropzone,https://macapp.supply/app/dropzone,https://aptonic.com/,https://aptonic.com/?ref=macapp.supply,aptonic.com,Utility,False,False,200,https://aptonic.com/,0,reachable
Looq: Preview Files for Mac,https://macapp.supply/app/looq-preview-files-for-mac,https://parcse.com/looq,https://parcse.com/looq?ref=macapp.supply,parcse.com,Utility,False,False,200,https://parcse.com/looq,0,reachable
Open Screen Shot,https://macapp.supply/app/open-screen-shot,https://open-ss.vercel.app/,https://open-ss.vercel.app/?ref=macapp.supply,open-ss.vercel.app,Utility,False,False,200,https://open-ss.vercel.app/,0,reachable
Presentify,https://macapp.supply/app/presentify,https://presentifyapp.com/,https://presentifyapp.com/?ref=macapp.supply,presentifyapp.com,Productivity,False,False,200,https://presentifyapp.com/,0,reachable
Corner Time,https://macapp.supply/app/corner-time,https://cornertime.app/,https://cornertime.app/?ref=macapp.supply,cornertime.app,Utility,False,False,200,https://cornertime.app/en,1,reachable
Compresto,https://macapp.supply/app/compresto,https://compresto.app/,https://compresto.app/?ref=macapp.supply,compresto.app,Productivity,True,False,200,https://compresto.app/,0,reachable
Open Timer,https://macapp.supply/app/open-timer,https://opentimer.vercel.app/,https://opentimer.vercel.app/?ref=macapp.supply,opentimer.vercel.app,Productivity,False,False,200,https://opentimer.vercel.app/,0,reachable
Slashit App,https://macapp.supply/app/slashit-app,https://www.slashit.app/,https://www.slashit.app/?ref=macapp.supply,www.slashit.app,Productivity,False,False,200,https://slashit.app/,1,reachable
Liqoria,https://macapp.supply/app/liqoria,https://www.liqoria.com/,https://www.liqoria.com/?ref=macapp.supply,www.liqoria.com,Lifestyle,False,False,200,https://www.liqoria.com/,0,reachable
Supaste,https://macapp.supply/app/supaste,https://supaste.com/,https://supaste.com/?ref=macapp.supply,supaste.com,Productivity,True,True,200,https://www.supaste.com/,1,reachable
